Loading cleanup-2b-4bit at its stored precision
001/100 V01: 28 tokens; 0.69s; 40.8 tok/s
002/100 V02: 25 tokens; 0.58s; 42.8 tok/s
003/100 V03: 26 tokens; 0.62s; 41.8 tok/s
004/100 V04: 23 tokens; 0.51s; 44.8 tok/s
005/100 V05: 29 tokens; 0.65s; 44.6 tok/s
006/100 V06: 30 tokens; 0.56s; 53.5 tok/s
007/100 V07: 37 tokens; 0.74s; 50.2 tok/s
008/100 V08: 28 tokens; 0.64s; 44.0 tok/s
009/100 V09: 25 tokens; 0.56s; 44.4 tok/s
010/100 V10: 32 tokens; 0.67s; 48.0 tok/s
011/100 V11: 29 tokens; 0.63s; 45.9 tok/s
012/100 V12: 32 tokens; 0.59s; 54.7 tok/s
013/100 V13: 31 tokens; 0.68s; 45.3 tok/s
014/100 V14: 30 tokens; 0.59s; 51.0 tok/s
015/100 V15: 37 tokens; 0.69s; 53.9 tok/s
016/100 V16: 32 tokens; 0.70s; 45.7 tok/s
017/100 V17: 35 tokens; 0.67s; 52.5 tok/s
018/100 V18: 35 tokens; 0.63s; 56.0 tok/s
019/100 V19: 31 tokens; 0.72s; 42.9 tok/s
020/100 V20: 29 tokens; 0.59s; 49.4 tok/s
021/100 V21: 22 tokens; 0.57s; 38.6 tok/s
022/100 V22: 30 tokens; 0.65s; 46.4 tok/s
023/100 V23: 36 tokens; 0.65s; 55.2 tok/s
024/100 V24: 32 tokens; 0.64s; 50.1 tok/s
025/100 V25: 34 tokens; 0.74s; 46.1 tok/s
026/100 V26: 27 tokens; 0.53s; 51.0 tok/s
027/100 V27: 33 tokens; 0.72s; 46.0 tok/s
028/100 V28: 30 tokens; 0.64s; 46.7 tok/s
029/100 V29: 30 tokens; 0.58s; 52.1 tok/s
030/100 V30: 28 tokens; 0.65s; 43.1 tok/s
031/100 V31: 32 tokens; 0.63s; 50.5 tok/s
032/100 V32: 30 tokens; 0.58s; 51.9 tok/s
033/100 V33: 30 tokens; 0.69s; 43.4 tok/s
034/100 V34: 32 tokens; 0.59s; 54.1 tok/s
035/100 V35: 38 tokens; 0.73s; 52.3 tok/s
036/100 V36: 34 tokens; 0.71s; 47.9 tok/s
037/100 V37: 30 tokens; 0.58s; 51.6 tok/s
038/100 V38: 31 tokens; 0.60s; 51.6 tok/s
039/100 V39: 38 tokens; 0.74s; 51.0 tok/s
040/100 V40: 42 tokens; 0.70s; 59.6 tok/s
041/100 V41: 43 tokens; 0.68s; 63.3 tok/s
042/100 V42: 35 tokens; 0.71s; 49.0 tok/s
043/100 V43: 34 tokens; 0.66s; 51.8 tok/s
044/100 V44: 30 tokens; 0.56s; 53.6 tok/s
045/100 V45: 34 tokens; 0.72s; 47.1 tok/s
046/100 V46: 42 tokens; 0.74s; 56.6 tok/s
047/100 V47: 31 tokens; 0.56s; 55.6 tok/s
048/100 V48: 39 tokens; 0.73s; 53.5 tok/s
049/100 V49: 30 tokens; 0.67s; 44.8 tok/s
050/100 V50: 36 tokens; 0.60s; 59.6 tok/s
051/100 C01: 17 tokens; 0.68s; 25.2 tok/s
052/100 C02: 13 tokens; 0.56s; 23.3 tok/s
053/100 C03: 11 tokens; 0.56s; 19.6 tok/s
054/100 C04: 13 tokens; 0.59s; 22.0 tok/s
055/100 C05: 11 tokens; 0.50s; 22.2 tok/s
056/100 C06: 9 tokens; 0.57s; 15.7 tok/s
057/100 C07: 13 tokens; 0.51s; 25.7 tok/s
058/100 C08: 6 tokens; 0.53s; 11.3 tok/s
059/100 C09: 9 tokens; 0.48s; 18.9 tok/s
060/100 C10: 12 tokens; 0.58s; 20.7 tok/s
061/100 C11: 10 tokens; 0.51s; 19.8 tok/s
062/100 C12: 15 tokens; 0.57s; 26.2 tok/s
063/100 C13: 11 tokens; 0.55s; 19.9 tok/s
064/100 C14: 14 tokens; 0.54s; 26.0 tok/s
065/100 C15: 9 tokens; 0.55s; 16.4 tok/s
066/100 C16: 10 tokens; 0.48s; 20.8 tok/s
067/100 C17: 20 tokens; 0.67s; 29.7 tok/s
068/100 C18: 10 tokens; 0.49s; 20.5 tok/s
069/100 C19: 15 tokens; 0.60s; 25.1 tok/s
070/100 C20: 10 tokens; 0.53s; 19.0 tok/s
071/100 C21: 22 tokens; 0.62s; 35.7 tok/s
