Loading new-cleanup-0.8b-4bit at its stored precision
001/100 V01: 29 tokens; 0.49s; 58.7 tok/s
002/100 V02: 30 tokens; 0.48s; 62.3 tok/s
003/100 V03: 28 tokens; 0.47s; 60.2 tok/s
004/100 V04: 27 tokens; 0.42s; 63.9 tok/s
005/100 V05: 35 tokens; 0.49s; 71.6 tok/s
006/100 V06: 28 tokens; 0.46s; 60.7 tok/s
007/100 V07: 38 tokens; 0.44s; 86.4 tok/s
008/100 V08: 27 tokens; 0.43s; 62.7 tok/s
009/100 V09: 17 tokens; 0.41s; 41.5 tok/s
010/100 V10: 23 tokens; 0.37s; 61.7 tok/s
011/100 V11: 27 tokens; 0.38s; 71.8 tok/s
012/100 V12: 33 tokens; 0.44s; 74.2 tok/s
013/100 V13: 30 tokens; 0.37s; 80.0 tok/s
014/100 V14: 29 tokens; 0.38s; 76.8 tok/s
015/100 V15: 33 tokens; 0.47s; 69.9 tok/s
016/100 V16: 31 tokens; 0.42s; 74.4 tok/s
017/100 V17: 35 tokens; 0.43s; 81.4 tok/s
018/100 V18: 32 tokens; 0.44s; 73.3 tok/s
019/100 V19: 31 tokens; 0.37s; 82.7 tok/s
020/100 V20: 27 tokens; 0.36s; 74.5 tok/s
021/100 V21: 27 tokens; 0.39s; 68.8 tok/s
022/100 V22: 32 tokens; 0.37s; 85.4 tok/s
023/100 V23: 36 tokens; 0.42s; 85.6 tok/s
024/100 V24: 27 tokens; 0.45s; 59.6 tok/s
025/100 V25: 34 tokens; 0.46s; 74.2 tok/s
026/100 V26: 27 tokens; 0.45s; 60.5 tok/s
027/100 V27: 26 tokens; 0.44s; 59.5 tok/s
028/100 V28: 30 tokens; 0.39s; 76.8 tok/s
029/100 V29: 31 tokens; 0.41s; 75.0 tok/s
030/100 V30: 24 tokens; 0.43s; 55.2 tok/s
031/100 V31: 31 tokens; 0.40s; 78.3 tok/s
032/100 V32: 30 tokens; 0.42s; 70.7 tok/s
033/100 V33: 30 tokens; 0.45s; 66.6 tok/s
034/100 V34: 32 tokens; 0.40s; 79.9 tok/s
035/100 V35: 37 tokens; 0.45s; 82.8 tok/s
036/100 V36: 31 tokens; 0.43s; 71.5 tok/s
037/100 V37: 25 tokens; 0.35s; 70.7 tok/s
038/100 V38: 32 tokens; 0.45s; 71.7 tok/s
039/100 V39: 36 tokens; 0.51s; 70.0 tok/s
040/100 V40: 33 tokens; 0.40s; 83.0 tok/s
041/100 V41: 43 tokens; 0.48s; 89.8 tok/s
042/100 V42: 34 tokens; 0.46s; 74.7 tok/s
043/100 V43: 34 tokens; 0.42s; 80.3 tok/s
044/100 V44: 30 tokens; 0.42s; 72.2 tok/s
045/100 V45: 34 tokens; 0.44s; 77.2 tok/s
046/100 V46: 40 tokens; 0.43s; 92.4 tok/s
047/100 V47: 34 tokens; 0.42s; 80.3 tok/s
048/100 V48: 45 tokens; 0.51s; 88.4 tok/s
049/100 V49: 30 tokens; 0.38s; 78.9 tok/s
050/100 V50: 36 tokens; 0.43s; 82.9 tok/s
051/100 C01: 17 tokens; 0.41s; 41.2 tok/s
052/100 C02: 14 tokens; 0.37s; 38.0 tok/s
053/100 C03: 11 tokens; 0.34s; 32.0 tok/s
054/100 C04: 11 tokens; 0.36s; 30.1 tok/s
055/100 C05: 11 tokens; 0.35s; 31.8 tok/s
056/100 C06: 9 tokens; 0.33s; 27.1 tok/s
057/100 C07: 12 tokens; 0.39s; 31.1 tok/s
058/100 C08: 6 tokens; 0.34s; 17.7 tok/s
059/100 C09: 9 tokens; 0.33s; 27.2 tok/s
060/100 C10: 12 tokens; 0.44s; 27.6 tok/s
061/100 C11: 10 tokens; 0.38s; 26.6 tok/s
062/100 C12: 15 tokens; 0.41s; 36.2 tok/s
063/100 C13: 11 tokens; 0.45s; 24.3 tok/s
064/100 C14: 14 tokens; 0.39s; 35.7 tok/s
065/100 C15: 9 tokens; 0.37s; 24.0 tok/s
066/100 C16: 9 tokens; 0.42s; 21.6 tok/s
067/100 C17: 18 tokens; 0.41s; 43.8 tok/s
068/100 C18: 8 tokens; 0.36s; 22.2 tok/s
069/100 C19: 14 tokens; 0.45s; 31.1 tok/s
070/100 C20: 8 tokens; 0.49s; 16.5 tok/s
071/100 C21: 22 tokens; 0.58s; 37.9 tok/s
072/100 C22: 18 tokens; 0.52s; 34.4 tok/s
073/100 C23: 10 tokens; 0.53s; 18.8 tok/s
074/100 C24: 10 tokens; 0.42s; 24.0 tok/s
