Loading supplied checkpoint at its original precision
001/100 V01: 32 tokens; 1.05s; 30.4 tok/s
002/100 V02: 24 tokens; 0.59s; 40.9 tok/s
003/100 V03: 28 tokens; 0.58s; 48.3 tok/s
004/100 V04: 23 tokens; 0.56s; 41.3 tok/s
005/100 V05: 35 tokens; 0.73s; 47.8 tok/s
006/100 V06: 37 tokens; 0.75s; 49.3 tok/s
007/100 V07: 37 tokens; 0.72s; 51.3 tok/s
008/100 V08: 26 tokens; 0.55s; 47.1 tok/s
009/100 V09: 28 tokens; 0.61s; 45.6 tok/s
010/100 V10: 33 tokens; 0.64s; 51.4 tok/s
011/100 V11: 31 tokens; 0.66s; 46.9 tok/s
012/100 V12: 31 tokens; 0.63s; 49.4 tok/s
013/100 V13: 31 tokens; 0.66s; 47.3 tok/s
014/100 V14: 29 tokens; 0.62s; 46.5 tok/s
015/100 V15: 36 tokens; 0.75s; 48.1 tok/s
016/100 V16: 32 tokens; 0.69s; 46.3 tok/s
017/100 V17: 35 tokens; 0.85s; 41.4 tok/s
018/100 V18: 37 tokens; 0.74s; 49.8 tok/s
019/100 V19: 31 tokens; 0.64s; 48.1 tok/s
020/100 V20: 29 tokens; 0.61s; 47.7 tok/s
021/100 V21: 29 tokens; 0.67s; 43.5 tok/s
022/100 V22: 32 tokens; 0.62s; 51.5 tok/s
023/100 V23: 36 tokens; 0.67s; 54.0 tok/s
024/100 V24: 32 tokens; 0.72s; 44.4 tok/s
025/100 V25: 34 tokens; 0.84s; 40.7 tok/s
026/100 V26: 27 tokens; 0.75s; 35.8 tok/s
027/100 V27: 33 tokens; 0.69s; 48.0 tok/s
028/100 V28: 30 tokens; 0.71s; 42.0 tok/s
029/100 V29: 31 tokens; 0.67s; 46.0 tok/s
030/100 V30: 24 tokens; 0.62s; 38.9 tok/s
031/100 V31: 31 tokens; 0.74s; 41.7 tok/s
032/100 V32: 30 tokens; 0.65s; 45.8 tok/s
033/100 V33: 30 tokens; 0.87s; 34.6 tok/s
034/100 V34: 32 tokens; 0.76s; 42.4 tok/s
035/100 V35: 37 tokens; 0.78s; 47.3 tok/s
036/100 V36: 34 tokens; 0.73s; 46.4 tok/s
037/100 V37: 31 tokens; 0.74s; 42.1 tok/s
038/100 V38: 32 tokens; 0.79s; 40.4 tok/s
039/100 V39: 36 tokens; 0.69s; 52.1 tok/s
040/100 V40: 33 tokens; 0.65s; 51.0 tok/s
041/100 V41: 44 tokens; 0.80s; 55.0 tok/s
042/100 V42: 35 tokens; 0.68s; 51.5 tok/s
043/100 V43: 34 tokens; 0.67s; 50.6 tok/s
044/100 V44: 33 tokens; 0.70s; 47.3 tok/s
045/100 V45: 34 tokens; 0.67s; 50.7 tok/s
046/100 V46: 37 tokens; 0.70s; 52.7 tok/s
047/100 V47: 36 tokens; 0.71s; 50.4 tok/s
048/100 V48: 43 tokens; 0.79s; 54.6 tok/s
049/100 V49: 33 tokens; 0.65s; 51.1 tok/s
050/100 V50: 36 tokens; 0.68s; 52.8 tok/s
051/100 C01: 17 tokens; 0.51s; 33.5 tok/s
052/100 C02: 14 tokens; 0.46s; 30.4 tok/s
053/100 C03: 11 tokens; 0.42s; 26.2 tok/s
054/100 C04: 11 tokens; 0.46s; 23.9 tok/s
055/100 C05: 11 tokens; 0.48s; 23.1 tok/s
056/100 C06: 9 tokens; 0.43s; 20.8 tok/s
057/100 C07: 12 tokens; 0.52s; 23.1 tok/s
058/100 C08: 6 tokens; 0.41s; 14.7 tok/s
059/100 C09: 9 tokens; 0.41s; 22.0 tok/s
060/100 C10: 15 tokens; 0.51s; 29.6 tok/s
061/100 C11: 10 tokens; 0.47s; 21.5 tok/s
062/100 C12: 15 tokens; 0.49s; 30.7 tok/s
063/100 C13: 11 tokens; 0.48s; 23.1 tok/s
064/100 C14: 14 tokens; 0.51s; 27.5 tok/s
