Loading supplied checkpoint at its original precision
001/100 V01: 35 tokens; 1.67s; 20.9 tok/s
002/100 V02: 28 tokens; 0.56s; 49.9 tok/s
003/100 V03: 26 tokens; 0.55s; 47.0 tok/s
004/100 V04: 26 tokens; 0.54s; 47.9 tok/s
005/100 V05: 29 tokens; 0.59s; 49.2 tok/s
006/100 V06: 29 tokens; 0.59s; 49.5 tok/s
007/100 V07: 41 tokens; 0.70s; 58.6 tok/s
008/100 V08: 27 tokens; 0.52s; 51.7 tok/s
009/100 V09: 25 tokens; 0.53s; 47.1 tok/s
010/100 V10: 23 tokens; 0.51s; 45.4 tok/s
011/100 V11: 30 tokens; 0.59s; 51.3 tok/s
012/100 V12: 33 tokens; 0.62s; 52.9 tok/s
013/100 V13: 30 tokens; 0.59s; 50.4 tok/s
014/100 V14: 34 tokens; 0.61s; 55.7 tok/s
015/100 V15: 34 tokens; 0.63s; 54.1 tok/s
016/100 V16: 34 tokens; 0.61s; 55.7 tok/s
017/100 V17: 35 tokens; 0.67s; 52.5 tok/s
018/100 V18: 31 tokens; 0.58s; 53.1 tok/s
019/100 V19: 33 tokens; 0.62s; 53.1 tok/s
020/100 V20: 28 tokens; 0.58s; 48.5 tok/s
021/100 V21: 26 tokens; 0.53s; 49.1 tok/s
022/100 V22: 33 tokens; 0.63s; 52.6 tok/s
023/100 V23: 38 tokens; 0.67s; 56.9 tok/s
024/100 V24: 32 tokens; 0.59s; 54.1 tok/s
025/100 V25: 35 tokens; 0.64s; 54.6 tok/s
026/100 V26: 27 tokens; 0.54s; 49.6 tok/s
027/100 V27: 34 tokens; 0.64s; 53.5 tok/s
028/100 V28: 32 tokens; 0.61s; 52.6 tok/s
029/100 V29: 30 tokens; 0.59s; 51.2 tok/s
030/100 V30: 25 tokens; 0.52s; 47.8 tok/s
031/100 V31: 31 tokens; 0.60s; 51.9 tok/s
032/100 V32: 32 tokens; 0.64s; 50.2 tok/s
033/100 V33: 30 tokens; 0.59s; 50.6 tok/s
034/100 V34: 32 tokens; 0.59s; 54.3 tok/s
035/100 V35: 38 tokens; 0.68s; 56.3 tok/s
036/100 V36: 34 tokens; 0.61s; 55.7 tok/s
037/100 V37: 31 tokens; 0.59s; 52.3 tok/s
038/100 V38: 14 tokens; 0.40s; 34.8 tok/s
039/100 V39: 41 tokens; 0.71s; 58.0 tok/s
040/100 V40: 35 tokens; 0.64s; 54.4 tok/s
041/100 V41: 43 tokens; 0.73s; 59.2 tok/s
042/100 V42: 36 tokens; 0.66s; 54.7 tok/s
043/100 V43: 33 tokens; 0.63s; 52.2 tok/s
044/100 V44: 28 tokens; 0.57s; 49.4 tok/s
045/100 V45: 31 tokens; 0.61s; 51.2 tok/s
046/100 V46: 46 tokens; 0.79s; 58.5 tok/s
047/100 V47: 28 tokens; 0.59s; 47.2 tok/s
048/100 V48: 42 tokens; 0.76s; 55.2 tok/s
049/100 V49: 31 tokens; 0.65s; 48.0 tok/s
050/100 V50: 34 tokens; 0.64s; 53.1 tok/s
051/100 C01: 16 tokens; 0.49s; 32.9 tok/s
